"","source","target","value"
"20939",8866,27126,1
"8912",8867,20138,1
"21522",8868,10795,1
"13592",8869,22382,2
"21742",8871,28826,1
"20996",8872,29541,1
"8918",8873,5604,1
"11564",8874,17777,1
"1213",8876,25214,1
"21551",8877,14867,1
"6927",8878,28219,1
"21801",8880,1372,1
"20677",8881,20691,1
"22746",8882,5678,1
"16647",8883,284,1
"16068",8886,14853,1
"21272",8887,22467,3
"5823",8888,22826,1
"16846",8888,8426,1
"5167",8890,27986,1
"8260",8891,1877,1
"8459",8892,17068,1
"4931",8893,17799,1
"7947",8894,21218,1
"19296",8896,23934,1
"1250",8897,1925,1
"24264",8897,26954,1
"10523",8899,19457,1
"15164",8899,30143,1
"11550",8901,25100,1
"16348",8901,26869,1
"16461",8902,1063,1
"1573",8905,20964,1
"19259",8906,779,1
"13342",8907,15838,1
"17129",8910,13207,1
"14083",8911,24178,1
"4188",8913,19500,1
"8348",8914,284,1
"11926",8915,24328,1
"1849",8916,26849,1
"19703",8917,14036,1
"19551",8918,703,1
"7520",8920,24320,1
"23022",8921,17126,1
"12832",8922,20119,1
"21776",8922,20752,1
"24525",8925,7477,1
"7693",8926,17040,1
"24046",8928,25771,1
"861",8929,18673,1
"10619",8930,10633,1
"6829",8931,1391,1
"15630",8932,20317,1
"12033",8933,20317,1
"4187",8934,7978,1
"5546",8935,2038,1
"6092",8938,19087,1
"7025",8940,20840,1
"19467",8941,24007,1
"7443",8942,12790,1
"9532",8942,28998,1
"24216",8943,23635,1
"6661",8944,3789,1
"11593",8945,10633,1
"5316",8946,25271,1
"902",8947,28450,1
"15827",8949,7700,1
"17265",8952,3206,1
"17413",8954,25126,1
"23181",8954,26735,1
"16425",8955,22467,1
"23184",8957,27457,1
"13436",8958,21331,1
"18848",8960,27306,1
"17781",8961,26869,1
"2230",8962,25309,1
"23080",8963,14257,1
"12188",8964,5820,1
"15219",8968,9405,1
"19894",8970,16777,1
"23999",8971,23877,1
"10268",8972,21069,1
"24642",8973,10854,1
"4795",8974,24443,1
"17796",8977,779,1
"23929",8978,15482,1
"12493",8979,9578,1
"11580",8980,8665,1
"22325",8981,9220,1
"24267",8982,29483,1
"17891",8984,8794,1
"23894",8984,8280,4
"23144",8985,12639,1
"12160",8986,5678,1
"10698",8987,11727,1
"710",8988,27341,1
"4855",8990,28041,1
"68",8991,6452,1
"1165",8994,17819,1
"10614",9000,26967,1
"22557",9003,11837,1
"1420",9004,23391,1
"12147",9005,1565,1
"5774",9006,21047,1
"21696",9006,25015,1
"14297",9007,3157,1
"8974",9008,23795,1
"10399",9009,14352,1
"13202",9010,23781,1
"4065",9013,10477,1
"22888",9015,21546,1
"3969",9017,9441,1
"4643",9018,8756,1
"8144",9018,586,1
"15739",9019,21866,1
"7388",9020,14036,1
"21149",9021,14036,1
"14954",9022,18816,1
"21611",9024,26020,1
"23627",9025,14389,1
"19883",9026,12883,1
"23300",9027,28041,1
"2875",9028,20454,1
"8413",9029,1334,1
"23526",9031,14614,1
"13113",9032,22143,1
"7678",9033,27309,1
"14500",9036,15119,1
"14923",9037,20119,1
"15138",9038,28219,1
"19512",9039,27035,1
"20892",9040,4715,1
"11337",9042,25015,1
"12973",9043,466,1
"7146",9045,14036,1
"11305",9046,8397,1
"14513",9047,26858,1
"10329",9048,10488,1
"23379",9049,14036,1
"3641",9051,25669,1
"19920",9051,3718,1
"3516",9052,17210,1
"2027",9053,18698,1
"614",9054,284,1
"24176",9055,27546,1
"24389",9055,11028,1
"24156",9056,12168,1
"22110",9059,17332,1
"781",9061,7324,1
"23995",9062,1181,1
"2848",9063,24320,1
"15641",9065,27,1
"769",9066,14033,1
"14158",9067,6354,1
"24453",9068,26755,1
"904",9069,339,1
"2661",9070,1967,1
"18623",9072,8665,1
"7035",9073,26267,1
"9667",9074,7681,1
"22518",9075,22236,1
"3419",9076,11030,1
"6513",9077,22467,1
"17657",9079,24094,1
"11683",9080,14183,1
"20530",9081,7635,1
"3898",9082,10488,1
"14384",9084,28438,1
"6671",9087,3915,1
"16805",9088,12196,1
"11988",9091,15784,1
"8932",9092,28219,1
"7054",9094,24852,1
"12560",9095,25487,1
"3689",9096,20153,1
"9777",9098,28041,1
"14039",9098,20012,1
"18454",9098,15784,1
"17178",9099,14257,1
"3999",9100,15825,1
"6044",9101,9155,1
"1208",9102,26271,1
"23128",9104,13688,1
"8879",9106,27492,1
"3364",9107,13854,1
"18524",9108,8665,1
"23711",9109,18283,1
"14753",9110,25172,1
"4243",9111,18019,1
"10901",9111,337,1
"14382",9112,8299,1
"5798",9115,14036,1
"8793",9116,18092,1
"296",9117,19108,1
"534",9118,26849,1
"23267",9119,24683,1
"11903",9120,24266,1
"4856",9121,23377,1
"12404",9122,5609,1
"11811",9123,8665,1
"19342",9124,4885,1
"11471",9127,535,1
"12762",9129,26869,1
"11079",9130,15119,1
"16050",9131,18698,1
"4297",9133,3047,1
"22216",9134,11275,1
"18763",9135,15655,1
"16004",9136,15465,1
"1771",9138,9950,1
"14945",9141,11194,1
"15232",9143,348,1
"8758",9146,26073,1
"10776",9146,7637,1
"7417",9147,993,1
"1984",9149,25077,1
"14220",9149,14697,1
"4862",9150,21768,1
"2314",9152,17126,1
"10079",9154,29639,1
"19058",9155,29674,1
"4742",9156,18624,1
"1637",9157,18624,1
"221",9158,2706,1
"6930",9159,6833,1
"7792",9162,8299,1
"8826",9163,6141,1
"3745",9164,997,1
"13214",9166,25166,1
"1338",9167,27498,1
"384",9168,12313,1
"22654",9169,28895,1
"3071",9170,28088,1
"3591",9174,7441,1
"9863",9175,2334,1
"2909",9178,10540,1
"12988",9179,716,1
"19335",9182,626,1
"20832",9183,22467,1
"3983",9187,21218,1
"3529",9188,16044,1
"19471",9190,15692,1
"8955",9191,25015,1
"14867",9193,7212,1
"19833",9194,28438,1
"4250",9197,18698,1
"21675",9197,27028,1
"202",9200,17140,1
"8069",9202,14036,1
"84",9205,2706,1
"11562",9205,23291,1
"16288",9206,1770,1
"18717",9208,10488,1
"20471",9212,3323,1
"22007",9213,26877,1
"11677",9214,15540,1
"19860",9215,2038,1
"3728",9218,11982,1
"5650",9219,18209,1
"14792",9222,3559,1
"10595",9223,23183,1
"11754",9224,29834,1
"13058",9225,25763,1
"16578",9225,1584,1
"24685",9225,17678,1
"7903",9226,2706,1
"2289",9227,26849,1
"12019",9228,5823,1
"21642",9229,7489,1
"6346",9232,5392,1
"9630",9234,20297,1
"9948",9234,28407,1
"23524",9235,253,1
"10808",9237,14751,1
"5993",9241,5868,1
"5848",9243,75,1
"9330",9244,26003,1
"4675",9245,25742,1
"13909",9245,25208,1
"2505",9246,23593,1
"2262",9247,24443,1
"1678",9249,17126,1
"1815",9250,22889,1
"19587",9251,29301,1
"4895",9253,17583,1
"7778",9253,6261,1
"19540",9255,17661,1
"15349",9256,404,1
"23345",9257,6213,1
"12199",9258,23580,1
"22107",9261,23951,1
"11224",9262,17799,1
"4588",9265,3546,1
"23033",9265,406,1
"6967",9267,26327,1
"7671",9268,8096,1
"20353",9269,4222,1
"580",9270,7762,1
"4945",9274,26683,1
"20443",9276,24266,1
"8833",9277,27925,1
"7103",9278,28219,1
"24230",9281,14183,1
"4669",9283,22729,1
"19545",9284,7532,1
"2891",9285,26869,1
"2160",9287,24541,1
"17661",9289,26420,1
"4947",9290,779,1
"9190",9291,13818,1
"12396",9292,7117,1
"16480",9293,23449,1
"12102",9294,5208,1
"1745",9295,3783,1
"14738",9298,3389,1
"4168",9299,3559,1
"3335",9300,27626,1
"22328",9301,5058,1
"1761",9302,12107,1
"17240",9304,6499,1
"24488",9305,17734,1
"21290",9306,3323,1
"20804",9307,29916,1
"21597",9308,19303,1
"5322",9309,20787,1
"6299",9312,5392,1
"24330",9313,7749,1
"7968",9315,17126,1
"11463",9315,779,1
"24056",9316,22662,1
"488",9317,13954,1
"13025",9318,17777,1
"13970",9319,5712,1
"20936",9320,22133,1
"2151",9321,9155,1
"19770",9324,647,1
"10709",9325,779,1
"11691",9326,27492,1
"19350",9327,8280,1
"17585",9328,23525,1
"23315",9329,20138,1
"10328",9330,16941,1
"15157",9330,6288,1
"24129",9330,5277,1
"20169",9331,25789,1
"5351",9332,779,1
"7366",9333,8794,1
"20027",9333,8280,1
"23533",9333,7146,1
"24181",9334,15655,1
"18647",9335,3898,1
"932",9336,11662,1
"16943",9337,23552,1
"4871",9338,2007,1
"10467",9338,10127,2
"18924",9338,2852,1
"19713",9339,28400,1
"22464",9341,4369,1
"12206",9342,8720,1
"8871",9343,10492,1
"13969",9344,2262,1
"22308",9345,16430,1
"19422",9346,7137,1
"8175",9347,15949,1
"18715",9347,15293,1
"24382",9349,11442,1
"6168",9350,19440,1
"1242",9353,25051,1
"15943",9354,21422,1
"12442",9355,24526,1
"8476",9356,12824,1
"22773",9357,29630,1
"442",9358,6662,1
"14048",9360,15866,1
"15625",9361,22978,1
"17886",9363,22865,1
"12508",9364,17539,1
"3628",9365,11980,1
"16969",9366,23104,1
"19827",9367,15904,1
"136",9368,26501,1
"11124",9368,17118,1
"14952",9368,12131,1
"19868",9368,25487,1
"12655",9369,11166,1
"9624",9371,23441,1
"14670",9371,29538,1
"19639",9371,20131,1
"9320",9372,5071,1
"4670",9373,9643,1
"15000",9374,17820,1
"5006",9379,20317,1
"17834",9380,8572,1
"11650",9381,15838,1
"1883",9382,25221,1
"1865",9383,11251,1
"3220",9384,6051,1
"10210",9385,14374,1
"6173",9386,25549,1
"12471",9387,14183,1
"19518",9388,19375,1
"257",9389,26597,1
"9310",9389,1925,1
"22383",9391,24541,1
"18147",9392,626,1
"7004",9393,28106,1
"16208",9394,16469,1
"15609",9395,24248,1
"4171",9396,28219,1
"22713",9399,24072,1
"16027",9400,23313,1
"2457",9401,15617,1
"9709",9402,25056,1
"9845",9404,19086,1
"9809",9406,21516,1
"21914",9407,779,1
"6236",9409,24378,1
"9700",9410,4151,1
"8114",9412,12054,1
"7884",9413,12211,1
"23932",9414,17799,2
"8200",9415,20765,1
"15439",9415,29153,1
"13359",9417,11251,1
"3937",9420,5442,1
"5811",9422,5979,1
"8436",9423,14614,1
"9178",9424,13352,1
"807",9425,26233,1
"12604",9427,9207,1
"14217",9428,2038,1
"11083",9429,17462,1
"19363",9432,24541,1
"24309",9433,12910,1
"24515",9434,20100,1
"9735",9435,253,1
"5704",9436,14614,1
"116",9437,28219,1
"15420",9439,22467,1
"18726",9443,28704,1
"3777",9445,7506,1
"997",9446,7681,1
"3661",9447,17703,1
"8711",9448,19592,1
"24528",9449,779,1
"4306",9451,12639,1
"19764",9452,14513,1
"13770",9455,6150,1
"19559",9456,22467,1
"23047",9458,284,1
"1488",9460,9181,1
"15434",9461,28534,1
"21145",9463,29126,1
"13102",9464,10633,1
"13955",9466,13663,1
"15230",9467,11277,1
"9410",9468,18769,1
"14170",9469,7734,1
"21605",9470,12800,1
"11041",9471,17957,1
"12918",9473,7179,1
"14298",9474,3323,1
"16294",9475,26597,1
"14260",9476,21481,1
"15710",9477,4647,1
"11542",9478,21029,1
"16495",9479,5678,1
"12228",9481,18319,1
"5728",9484,284,1
"22319",9484,28895,1
"7979",9485,22467,1
"24074",9485,17126,1
"2367",9486,25984,1
"9579",9487,17180,1
"9891",9488,7783,1
"13624",9489,4150,1
"2231",9490,25015,1
"5410",9491,269,2
"22615",9492,20787,1
"660",9493,1834,1
"3414",9494,4997,1
"11851",9494,17065,1
"8340",9495,1035,1
"9659",9496,28103,1
"8237",9497,4108,1
"998",9499,20669,1
"19832",9500,1476,1
"14594",9501,13062,1
"66",9502,29505,1
"18143",9503,6942,1
"14786",9505,6696,1
"5610",9506,4499,1
"22930",9507,14697,1
"19814",9508,30011,1
"12953",9509,10083,1
"22054",9511,24320,1
"5713",9512,17799,1
"21767",9512,26428,1
"11631",9513,22724,1
"5122",9515,28895,1
"15970",9516,8798,1
"3037",9517,18092,1
"12574",9518,14036,1
"18479",9519,466,1
"14435",9520,702,1
"2052",9521,25357,1
"3119",9523,11343,1
"13213",9524,28895,1
"10052",9526,24972,1
"19257",9527,20317,1
"8815",9530,22467,1
"1561",9533,15866,1
"16804",9534,11397,1
"18355",9535,21225,1
"7499",9536,23377,1
"9727",9538,6901,1
"13565",9539,15866,1
"21785",9541,29243,1
"14856",9544,12863,1
"21007",9544,25238,1
"20548",9545,29583,1
"7881",9546,24378,1
"3412",9547,23313,1
"21262",9548,4239,1
"7194",9551,20317,1
"12405",9552,8665,1
"16594",9553,7477,2
"15721",9554,8665,1
"2534",9555,11516,1
"15261",9556,20145,1
"21940",9557,9643,1
"17878",9558,11521,1
"2463",9560,5802,1
"13033",9561,24443,1
"23329",9562,27309,1
"20211",9563,26696,1
"4589",9564,18260,1
"20521",9565,284,1
"19237",9568,20496,1
"1427",9570,15784,1
"19121",9573,11570,1
"9805",9574,26735,1
"12726",9574,14292,1
"4558",9575,26200,1
"23831",9576,9035,1
"15308",9577,13055,1
"4090",9579,683,1
"14199",9580,24088,1
"11141",9581,20454,1
"10818",9582,17126,1
"14467",9583,25967,1
"2110",9584,19755,1
"11455",9586,14417,1
"1743",9588,11980,1
"6211",9589,1109,1
"5609",9590,683,1
"8115",9591,2394,1
"6439",9592,26244,1
"20152",9593,8682,1
"21051",9594,12179,1
"2418",9595,8558,1
"2233",9596,5678,1
"24369",9596,27525,1
"1376",9597,7788,1
"10221",9598,27309,1
"5151",9599,12978,1
"9401",9600,15238,1
"13491",9601,17799,1
"931",9602,30158,1
"2887",9604,24541,1
"8939",9607,30087,1
"18555",9608,8665,1
"4446",9609,15087,1
"10005",9610,3932,1
"16608",9611,14005,1
"18343",9611,13878,1
"23207",9612,22177,1
"13604",9615,19589,1
"15847",9616,1869,1
"3252",9617,5678,1
"24222",9619,13878,1
"10448",9620,1796,1
"6899",9621,337,1
"5843",9622,24320,1
"19",9623,21309,1
"18473",9624,16463,1
"8480",9625,3951,1
"6318",9627,18659,1
"12804",9628,23475,1
"9779",9629,13047,1
"10254",9630,27931,1
"10987",9630,24876,1
"23034",9631,5688,1
"19329",9633,24596,1
"9006",9634,22467,1
"24398",9636,9971,1
"3513",9637,2178,1
"24639",9639,9207,1
"9814",9640,20311,1
"4847",9641,10359,1
"13743",9642,16047,1
"243",9644,22285,1
"18186",9644,9405,1
"18339",9645,16044,1
"18395",9646,27949,1
"8178",9647,15866,1
"10700",9648,6090,1
"19660",9649,3901,1
"1339",9650,3027,1
"24094",9651,9525,2
"14983",9652,28929,1
"12544",9653,12185,1
"4235",9654,23778,1
"22554",9656,23271,1
"2112",9660,12975,1
"17426",9661,8800,1
"15953",9662,13238,1
"23243",9663,12864,1
"1854",9664,12081,1
"156",9665,13033,1
"2542",9666,1422,1
"15987",9668,11238,1
"9043",9669,15332,1
"10819",9670,4905,1
"17938",9671,10488,1
"20029",9672,28119,1
"5415",9673,2727,1
"20551",9674,19812,1
"14394",9675,27309,1
"23464",9676,14002,1
"7832",9678,2571,1
"19048",9678,8790,1
"1965",9679,1478,1
"3625",9680,8368,1
"4628",9683,8939,1
"2705",9684,6833,1
"11671",9686,4140,1
"19830",9687,5208,1
"494",9688,25471,1
"17685",9689,28219,1
"11686",9690,9405,1
"6035",9691,15982,1
"8082",9693,18240,1
"461",9694,28295,1
"12280",9695,17152,1
"14113",9697,8790,1
"4757",9698,25471,1
"7625",9699,28219,1
"13306",9699,4596,1
"24717",9702,17180,1
"8229",9704,28438,1
"7123",9706,15394,1
"22091",9707,23449,1
"14529",9708,284,1
"23435",9709,28563,1
"2158",9711,16217,1
"4007",9711,18698,1
"18151",9712,1277,1
"15994",9714,25487,1
"20596",9715,23849,1
"1993",9716,29848,1
"17778",9718,10347,1
"19649",9719,1277,1
"19908",9719,28438,1
"5453",9720,8540,1
"15896",9721,24354,1
"7818",9722,2709,1
"8814",9723,4042,1
"15790",9724,23836,1
"14699",9725,8794,1
"3017",9726,24378,1
"24334",9726,14275,1
"21171",9727,24266,1
"5936",9728,19585,1
"8465",9730,15479,1
"3850",9732,27492,1
"12919",9733,24443,1
"12933",9734,15655,1
"23065",9735,3429,1
"12274",9736,6895,1
"15143",9737,28438,1
"6592",9738,5678,1
"17019",9739,13891,1
"24436",9740,92,1
"1590",9741,3581,1
"18401",9742,21167,1
"7633",9745,28219,1
"2778",9746,8629,1
"23166",9747,5438,1
"6204",9748,22467,1
"5523",9749,21069,1
"10418",9749,27965,1
"10145",9752,24378,1
"7572",9753,9814,1
"13384",9754,3641,1
"5614",9755,16810,1
"2919",9757,26200,1
"7309",9758,29520,1
"20260",9759,24443,1
"8824",9761,2706,1
"22864",9764,14308,1
"6214",9765,28895,1
"17094",9766,26869,1
"10576",9767,18403,1
"2900",9768,26869,1
"5896",9768,29683,1
"13176",9769,2344,1
"17861",9770,3404,1
"11702",9771,11570,1
"14658",9771,2328,1
"20560",9771,11166,1
"8681",9772,14843,1
"20728",9773,21472,1
"12036",9774,3411,1
"23431",9775,15090,1
"14912",9776,29314,1
"15532",9777,703,1
"5654",9778,24541,1
"8252",9780,23852,1
"10008",9781,15866,1
"18639",9782,20317,1
"1104",9783,25777,1
"17018",9784,7880,1
"9284",9785,29674,1
"12857",9786,19765,1
"6167",9787,11400,1
"9115",9788,19273,1
"20811",9789,20317,1
"14307",9791,26901,1
"13968",9792,25015,1
"18065",9792,9643,1
"22332",9793,26915,1
"686",9795,9186,1
"14681",9796,22467,1
"7683",9797,28041,1
"19914",9798,14571,1
"3263",9800,3141,1
"15369",9801,18314,1
"22859",9802,21218,1
"17713",9803,1300,1
"17920",9805,25080,1
"3789",9806,16019,1
"17670",9807,21009,1
"24101",9808,20752,1
"23093",9811,14440,1
"9122",9812,19222,1
"13736",9812,14036,1
"22985",9816,24140,1
"12512",9817,20317,1
"12504",9818,29848,1
"14242",9820,8665,1
"17287",9821,13770,1
"24269",9822,22949,1
"1416",9823,15938,1
"5851",9824,28219,1
"19618",9825,12909,1
"2658",9826,779,1
"21497",9827,1834,1
"14308",9828,21472,1
"6080",9830,12989,1
"24350",9832,8812,1
"7066",9833,12826,1
"10014",9834,7191,1
"4672",9835,3721,1
"17746",9836,9153,1
"1232",9837,14036,1
"19895",9838,17661,1
"21514",9840,20317,1
"7999",9841,5062,1
"10148",9842,21500,1
"21680",9843,10,1
"5695",9845,10,1
"19415",9846,253,1
"24585",9847,20759,1
"11943",9848,9667,1
"15931",9850,26200,1
"21045",9851,14036,1
"6256",9853,12185,1
"20756",9854,22130,1
"21122",9855,9230,1
"1583",9857,7878,1
"17609",9859,4159,1
"14494",9860,28895,1
"1171",9861,21912,1
"9053",9862,2107,1
"15120",9863,6426,1
"20835",9863,284,1
"12884",9864,24320,2
"19470",9865,19163,1
"17827",9867,21431,1
"7762",9868,25401,1
"13925",9869,6867,1
"4149",9870,19232,1
"15563",9871,10507,1
"4370",9872,14036,1
"17076",9873,12168,1
"3459",9874,24320,1
"12486",9875,21218,1
"3174",9876,11091,1
"23592",9877,2706,1
"1906",9880,20752,1
"2878",9881,1807,1
"23513",9882,27311,1
"15404",9883,15733,1
"14980",9884,9144,1
"216",9885,28271,1
"15782",9886,27492,1
"6934",9887,2470,1
"6480",9888,16777,1
"11211",9889,866,1
"14033",9889,22145,1
"14595",9889,24531,1
"5019",9891,9643,1
"15991",9892,10675,1
"21083",9894,2541,1
"13345",9898,8033,1
"4397",9899,12512,1
"21092",9901,18935,1
"8889",9902,6090,1
"16841",9903,24443,1
"23160",9903,21531,1
"7303",9904,5638,1
"13758",9906,24320,1
"2667",9907,903,1
"24088",9907,28438,1
"24237",9907,11507,1
"14009",9908,5197,1
"12730",9910,3031,1
"19421",9911,21370,1
"4644",9912,2805,1
"7161",9913,25954,1
"15050",9913,22440,1
"23688",9913,9707,1
"15709",9915,24541,1
"428",9916,25984,1
"13247",9919,24471,1
"20263",9920,20156,1
"222",9921,26200,1
"396",9922,29623,1
"6218",9923,1611,1
"8050",9924,14308,1
"21399",9925,10885,1
"16592",9926,10238,1
"20288",9927,19630,1
"7257",9929,3303,1
"13560",9930,25487,1
"20310",9931,6199,1
"4667",9932,2545,1
"15769",9933,10488,1
"7175",9935,18336,1
"4136",9936,23449,1
"22549",9937,2644,1
"19928",9939,25654,1
"13253",9941,9405,1
"4611",9943,10488,1
"5995",9944,29778,1
"10691",9946,5277,1
"20510",9947,15649,1
"23055",9948,3673,1
"12349",9949,5266,1
"2491",9951,7681,1
"13665",9952,12639,1
"16796",9955,12455,1
"14371",9956,27309,1
"20160",9957,29919,1
"23948",9958,24541,1
"970",9959,14173,1
"14987",9960,13444,1
"1585",9961,5401,1
"4345",9962,14010,1
"2949",9963,1328,1
"10041",9963,110,1
"12088",9963,16408,1
"19995",9963,583,1
"16628",9964,10754,1
"3751",9965,1277,1
"4494",9966,7357,1
"771",9967,9405,1
"11323",9969,28219,1
"933",9972,13442,1
"14004",9972,9078,1
"1735",9973,24320,1
"10215",9974,12872,1
"23428",9975,16554,1
"11854",9976,28299,1
"12374",9977,779,1
"21593",9978,2379,1
"21111",9980,23756,1
"14225",9981,4930,1
"3710",9983,25900,1
"11766",9984,20317,1
"8287",9985,18630,1
"17907",9986,24320,1
"2144",9987,7889,1
"7159",9988,28418,1
"16575",9989,20673,1
"7980",9991,28292,1
"7570",9992,10939,1
"10138",9994,27331,1
"24352",9995,8665,1
"653",9996,8149,1
"15781",9997,71,1
"1853",9999,1340,1
"353",10000,12232,1
"21652",10002,25577,1
"14001",10003,1235,1
"4985",10004,17799,1
"14317",10005,2514,1
"7198",10008,1400,1
"4722",10009,15009,1
"17149",10010,2706,1
"10247",10011,17126,2
"16756",10011,20317,1
"16989",10011,7691,1
"19278",10011,9643,2
"21031",10011,24320,2
"10552",10012,1009,1
"3790",10014,4857,1
"1693",10015,21218,1
"15235",10015,10488,1
"18938",10015,10266,1
"23612",10016,457,1
"22475",10017,27028,1
"336",10019,8665,1
"3760",10020,8665,1
"23129",10021,29488,1
"2248",10024,8665,1
"15616",10025,23022,1
"23756",10026,18038,1
"11303",10027,21370,1
"6989",10028,28694,1
"11021",10030,24443,1
"13322",10031,4980,1
"4727",10033,7123,1
"5046",10034,24916,1
"17499",10036,28219,1
"132",10037,26489,1
"14021",10039,10488,1
"7041",10040,2383,1
"17318",10041,23316,1
"17978",10041,26895,1
"18605",10042,27274,1
"5444",10043,14036,1
"14536",10044,28041,1
"7480",10045,14036,1
"18378",10047,4379,1
"2051",10050,26200,1
"16384",10051,4704,1
"24367",10052,15743,1
"14034",10053,23270,1
"19464",10054,16788,1
"16748",10055,22836,1
"16758",10057,10114,1
"12402",10058,15783,1
"24628",10059,14369,1
"5783",10060,9259,1
"18517",10061,10,1
"9189",10062,4919,1
"14277",10063,2203,1
"19406",10064,15692,1
"13465",10066,15866,1
"21366",10067,8080,1
"1327",10069,18421,1
"6724",10070,17661,1
"6876",10071,19213,1
"1885",10072,3404,1
"19905",10074,26169,1
"4768",10075,407,1
"703",10076,28041,1
"10410",10077,13608,1
"3040",10078,17139,1
"21534",10079,29000,1
"24321",10080,4497,1
"4307",10081,10472,1
"22167",10084,28134,1
"14355",10086,10980,1
"8404",10087,24320,1
"3064",10088,29848,1
"5632",10089,25857,1
"17367",10090,28446,1
"8616",10092,14257,1
"5982",10093,11722,1
"850",10095,13371,1
"10778",10095,19184,1
"13091",10095,27676,1
"15723",10095,20317,1
"6233",10096,15044,1
"13003",10098,7681,1
"1029",10099,15060,1
"8836",10099,15293,1
"1132",10101,15580,1
"1435",10101,14030,1
"4635",10101,26070,1
"7064",10101,13679,1
"8582",10101,27620,1
"8763",10101,29424,1
"8921",10101,17352,1
"10570",10101,9953,1
"19042",10101,17617,1
"21205",10101,25126,1
"22956",10101,4966,1
"23657",10101,27681,1
"24051",10102,22528,1
"8417",10105,24320,1
"7033",10107,16731,1
"6753",10108,27492,1
"21577",10109,317,1
"23161",10110,7880,1
"22609",10111,22630,1
"17350",10112,1610,1
"16135",10113,3323,1
"27",10117,5088,2
"16790",10118,12413,1
"15550",10120,20684,1
"22831",10121,20622,1
"19766",10122,14361,1
"17626",10123,22467,1
"10273",10124,21218,1
"10109",10125,27891,1
"10341",10128,21787,1
"4010",10130,1645,1
"818",10131,25015,1
"22560",10132,7573,1
"11171",10133,5277,1
"18856",10133,28438,1
"20453",10133,9810,1
"21211",10134,23408,1
"16182",10135,21561,1
"20047",10136,102,1
"16211",10141,20492,1
"21907",10142,5813,1
"9265",10143,15655,1
"2042",10144,12731,1
"24404",10146,14746,1
"13103",10147,10688,1
"7438",10149,15784,1
"9616",10150,5212,1
"12800",10150,12909,1
"8701",10151,27309,1
"20262",10155,8299,1
"17563",10156,29243,1
"1615",10157,22949,1
"14582",10158,28841,1
"6452",10160,9405,1
"14360",10161,22220,1
"9131",10162,1162,1
"8865",10164,20131,1
"18708",10165,13294,1
"13445",10167,27598,1
"18213",10169,7037,1
"4544",10170,12355,1
"23465",10171,17227,1
"13134",10173,5971,1
"15378",10174,2270,1
"10477",10175,15119,1
"22026",10176,11793,1
"3804",10177,7470,1
"5198",10178,17447,1
"16191",10179,3157,1
"2468",10180,2706,1
"20747",10182,8299,1
"13847",10183,23378,1
"13809",10185,4687,1
"18843",10187,23392,1
"17338",10188,18698,1
"2467",10189,13208,1
"22634",10191,19049,1
"4894",10192,21122,1
"1018",10193,9211,1
"24408",10194,27989,1
"23998",10195,12910,1
"17069",10197,20825,1
"15938",10198,19830,1
"12521",10200,9858,1
"8221",10202,779,1
"3184",10203,26403,1
"19610",10204,25080,1
"3838",10205,10754,1
"5800",10206,9405,1
"6726",10206,7128,1
"24727",10207,13134,1
"2290",10208,26531,1
"20587",10210,10488,1
"5630",10211,14126,1
"20660",10212,7776,1
"8727",10213,20284,1
"7695",10214,6292,1
"10360",10215,5678,1
"12850",10216,21152,1
"15685",10217,26179,1
"13976",10218,9990,2
"22756",10220,8807,1
"17136",10221,12053,1
"10708",10222,22467,1
"10661",10223,30045,1
"6319",10225,19350,1
"14697",10226,16799,1
"20833",10227,11319,1
"6978",10228,3793,1
"6545",10229,12910,1
"269",10230,24320,1
"22512",10231,14036,1
"3020",10234,4793,1
"24706",10235,7283,1
"1736",10236,15949,1
"6013",10237,17606,1
"6219",10239,24398,1
"2805",10242,14275,1
"8334",10242,28895,1
"10666",10242,24320,1
"15424",10243,29231,1
"15619",10244,30,1
"19366",10247,13459,1
"10693",10248,9682,1
"2465",10249,11792,1
"9092",10250,22680,1
"9048",10251,5229,1
"5235",10253,1767,1
"21332",10256,24378,1
"9811",10257,4882,1
"9324",10259,779,1
"5998",10263,12774,1
"812",10264,26051,1
"1229",10265,26887,1
"4645",10267,22467,1
"5920",10268,21466,1
"7231",10270,17799,1
"10903",10271,24320,1
"4084",10272,25444,1
"18511",10273,22879,1
"946",10274,28041,1
"10496",10275,284,1
"14706",10275,17126,1
"24388",10276,12079,1
"20287",10277,11231,1
"13815",10278,15784,1
"3638",10280,8484,1
"8303",10280,463,1
"20010",10280,12002,1
"3469",10281,22098,1
"17092",10282,8629,1
"18705",10284,27517,1
"16906",10285,9173,1
"3716",10287,10410,1
"18399",10289,25080,1
"1239",10291,2177,1
"5645",10292,22467,1
"16865",10293,12668,1
"667",10295,8540,1
"11523",10296,26735,1
"11596",10297,2065,1
"13622",10298,5678,1
"1613",10299,28438,1
"11856",10300,1255,1
"7626",10301,24931,1
"9235",10302,21305,1
"15336",10303,3157,1
"6021",10304,3036,1
"15160",10305,25080,1
"4215",10306,21386,1
"11863",10309,14257,1
"15890",10310,29845,1
"1308",10311,28438,1
"13627",10311,11166,1
"23341",10313,20128,1
"16498",10314,375,1
"7081",10315,19184,1
"18298",10316,14010,1
"24365",10318,5104,1
"20866",10320,14036,1
"5770",10321,8939,1
"2013",10323,9405,1
"13034",10326,15145,1
"20885",10328,28142,1
