"","source","target","value"
"2043",360,25739,1
"3807",361,14114,1
"21699",361,18698,1
"24361",365,17240,1
"18433",366,27853,1
"19062",367,24515,1
"19862",369,28501,1
"24759",370,28041,1
"22101",371,3390,1
"15583",374,26200,1
"17160",376,5794,1
"2200",377,6624,1
"4899",378,22467,3
"10997",380,1614,1
"12679",381,9689,1
"1819",382,14036,1
"3361",383,20317,1
"2623",384,20752,1
"3737",384,25516,3
"6222",384,779,2
"6827",384,30087,1
"6932",384,20119,1
"11052",384,23507,1
"11283",384,12909,2
"11998",384,29382,1
"12227",384,18756,1
"18201",384,9954,1
"18342",384,15949,3
"20754",384,12712,1
"21325",384,12817,1
"5276",385,9114,1
"24120",386,28564,1
"17325",387,7403,1
"7220",388,1210,1
"21750",389,11646,1
"3365",390,26110,1
"3394",391,4984,1
"7068",393,763,1
"11941",396,779,1
"4902",400,27039,1
"8877",400,15997,1
"8424",401,8828,1
"11492",402,24890,1
"14052",405,5952,1
"3926",409,23263,1
"22818",410,14036,1
"17255",411,4416,1
"22953",413,25433,1
"5480",414,22937,1
"5412",415,26200,1
"9107",416,27372,1
"4878",417,13789,1
"6291",418,23270,1
"15372",419,12826,1
"23483",421,14160,1
"19606",422,2434,1
"22727",424,2640,1
"23986",425,25015,1
"19507",426,29520,1
"3221",429,19495,1
"1856",430,29344,1
"19514",431,19087,1
"16298",432,11983,1
"23421",432,14140,1
"3879",433,14955,1
"24438",436,7895,1
"7698",437,16183,1
"24751",440,2203,1
"1787",442,26308,1
"17327",443,22071,1
"10318",444,7851,1
"20148",445,23317,1
"17030",446,20111,1
"6969",447,19220,1
"12668",448,20815,1
"11813",449,28219,1
"11218",451,26882,1
"22574",453,7827,1
"12801",454,14518,1
"9332",455,8790,1
"5856",456,10488,1
"6809",459,24982,1
"7773",460,14519,1
"21782",461,22493,1
"9910",464,17799,1
"372",467,10854,1
"11688",468,6498,1
"22714",469,10488,1
"13112",472,1637,1
"1166",473,27955,1
"2147",473,17583,1
"17616",475,465,1
"11664",476,16381,1
"18514",477,13103,1
"22251",478,130,1
"19644",479,24443,1
"1048",481,21860,1
"13899",482,6064,1
"11438",483,29628,1
"930",484,13096,1
"15657",486,13427,1
"18994",487,28438,1
"4946",488,9459,1
"18527",489,15866,1
"16982",490,1033,1
"1194",491,12185,1
"7120",492,28041,1
"726",493,17126,1
"167",495,24541,1
"8544",496,5678,1
"23773",499,10633,1
"6754",501,27294,1
"3900",502,6426,1
"455",503,29301,1
"1525",504,8923,1
"13325",505,6066,1
"14711",506,20138,1
"16668",507,24266,1
"915",509,24320,1
"20116",510,29965,1
"8223",513,26597,1
"16329",514,10479,1
"5646",515,24880,1
"4331",516,22528,1
"19244",517,9643,1
"17398",518,19631,1
"4043",519,9794,1
"24531",519,5213,1
"21516",520,779,1
"19274",521,15866,1
"5392",522,20317,1
"9803",522,8280,1
"22217",522,16718,1
"13990",523,24430,1
"6007",526,17126,1
"23340",527,9717,1
"11494",528,28176,1
"15952",529,9917,1
"22017",530,20168,1
"17423",531,19552,1
"17927",532,5549,1
"11922",533,16469,1
"17940",534,15851,1
"19812",536,6276,1
"2708",537,5144,1
"8194",538,20759,1
"3056",539,3323,1
"8027",540,15866,1
"8098",541,5678,1
"12004",542,25771,1
"19648",543,18600,1
"10984",544,10488,1
"14984",545,28041,1
"7192",546,11091,1
"5466",547,21874,1
"775",549,7708,1
"13041",552,15958,1
"13203",554,1214,1
"2511",555,22467,1
"2148",556,20752,1
"22835",557,24538,1
"13737",558,28895,1
"7739",560,23321,1
"11486",562,7615,1
"10542",563,23449,1
"11478",564,25102,1
"9850",566,16074,1
"19823",567,2203,1
"6047",568,15655,1
"15150",569,27388,1
"6815",570,3436,1
"5541",571,18027,1
"22762",572,28219,1
"7549",573,5589,1
"17603",573,859,1
"18617",573,17662,1
"19976",573,5802,1
"24378",574,12497,1
"11512",575,15784,1
"7556",576,665,1
"24059",579,21170,1
"1443",580,20317,1
"9286",581,26200,1
"4627",584,18718,1
"7405",588,24651,1
"20181",589,9459,1
"22033",590,27676,1
"9251",592,10488,1
"498",593,3404,1
"11461",595,7797,1
"6741",598,4845,2
"7771",600,284,1
"17660",602,373,1
"19159",603,11759,1
"18740",605,29962,1
"23074",606,16946,1
"19750",607,19368,1
"12142",608,24787,1
"13882",609,7107,1
"21384",609,24320,1
"21732",610,15949,1
"8967",611,8665,1
"22887",612,3210,1
"22962",613,23009,1
"11106",614,23601,1
"2258",616,26735,1
"4866",616,14614,1
"23738",616,5712,1
"1178",617,29607,1
"10631",618,12199,1
"21526",619,28219,1
"5702",622,24594,1
"12258",624,29484,1
"23737",625,21244,1
"10785",627,25080,1
"19961",628,28438,1
"17052",629,29722,1
"13586",630,16946,1
"828",631,25562,1
"23309",631,24471,1
"23805",634,6426,1
"2387",635,29805,1
"5692",636,3002,1
"2544",637,2921,2
"6403",637,20131,1
"7462",637,29538,1
"13363",637,23441,1
"11232",638,29479,1
"5816",639,25015,1
"16617",640,290,1
"15167",641,29825,1
"23683",642,779,1
"23563",643,27051,1
"16793",644,13236,1
"19358",645,27209,1
"23728",646,1567,1
"19326",648,5678,1
"1764",649,24443,1
"6620",651,25080,1
"10461",653,8936,1
"23958",653,5536,1
"13234",654,24378,1
"16764",654,2250,1
"14121",655,23449,1
"1674",656,15590,1
"9932",657,779,1
"16190",658,29186,1
"19480",660,5678,1
"6388",661,26849,1
"7706",662,23593,1
"5583",663,15957,1
"18083",664,27028,1
"24092",664,18698,1
"7975",666,28555,1
"20451",667,5208,1
"24498",669,29201,1
"15939",672,16694,1
"4157",673,17280,1
"9014",674,20998,1
"1233",675,29639,1
"23933",676,23467,1
"12141",677,6848,1
"7039",678,21231,1
"21866",679,26869,1
"23334",680,4069,1
"18873",681,7490,1
"17589",682,22467,1
"2278",684,20033,1
"15578",685,30076,1
"3074",686,12196,1
"9123",686,22062,1
"17200",687,22621,2
"7125",688,15809,1
"18366",689,15569,1
"21175",690,4905,1
"14763",691,6017,1
"14105",693,407,1
"21089",695,12195,1
"1800",696,5387,1
"4406",697,25657,1
"1592",698,12639,1
"8875",699,6606,1
"2649",700,11251,1
"18424",705,6354,1
"20448",706,21218,1
"15535",707,10633,1
"12082",708,13204,1
"6031",709,19489,1
"3954",710,29209,2
"11126",710,11634,2
"16253",710,5632,1
"24560",710,9643,3
"7474",711,8324,1
"13087",712,23246,1
"13749",714,23460,1
"4618",715,28564,1
"7835",717,24481,1
"15111",718,28002,1
"528",719,22098,1
"23636",720,8665,1
"6854",721,20883,1
"18811",722,2505,2
"20711",723,8665,1
"11290",725,19149,1
"23403",727,28728,1
"2595",728,15655,1
"1685",730,11925,1
"905",731,10488,1
"5580",733,779,1
"19445",734,10269,1
"2",735,13346,1
"8730",736,2585,1
"17811",737,1526,1
"14182",738,5589,1
"14038",741,9507,1
"6445",743,10238,1
"7040",745,25450,1
"15683",745,27685,1
"17389",745,4792,1
"17809",745,9125,1
"17992",745,13459,1
"17672",748,6390,1
"1",749,284,1
"9977",750,14257,1
"2845",751,21218,1
"17650",752,550,1
"18542",753,13484,1
"7788",754,21320,1
"11543",755,10633,1
"4001",756,14751,1
"19177",757,16718,1
"7543",758,7727,1
"9185",759,15904,1
"10787",760,28895,1
"17444",760,7732,1
"10095",761,12349,1
"8205",762,4772,1
"21477",766,25015,1
"17222",769,17126,1
"21588",772,7324,1
"1696",773,29520,1
"13085",774,23313,1
"23179",774,25080,1
"8153",776,21638,1
"8486",778,22467,2
"852",780,6052,1
"10446",781,14036,1
"10738",782,14036,1
"21070",784,11980,1
"24553",786,6208,1
"6340",787,15359,1
"2311",789,25984,1
"19476",790,5678,1
"7692",791,8336,1
"19623",792,9643,1
"21233",794,26266,1
"9625",795,12185,1
"20562",796,11091,1
"1038",797,17805,1
"2429",798,11922,1
"18397",801,6513,1
"6011",802,17126,1
"3680",804,28527,1
"21085",806,6066,1
"12586",807,24144,1
"7690",809,11064,1
"19505",812,13409,1
"23069",813,29000,1
"16083",814,10488,1
"18104",816,25080,1
"1663",817,10048,1
"12126",818,15655,1
"8122",819,8280,1
"5340",820,23862,1
"4843",822,23497,1
"20709",823,3586,1
"21561",824,6272,1
"11940",825,6000,1
"8512",826,2917,1
"21875",827,10633,1
"4184",828,27492,1
"7824",829,11974,1
"7256",830,28450,1
"7107",831,21880,1
"20266",832,82,1
"8430",833,25884,1
"1438",835,24378,1
"14609",836,9643,1
"7799",837,25080,1
"21693",839,28219,1
"17867",840,11190,1
"8687",841,25839,1
"5651",842,5549,1
"11816",847,15904,1
"23112",848,12199,1
"9140",850,8790,1
"2276",851,13492,1
"14633",852,15866,1
"22141",853,22467,1
"6756",854,779,1
"14419",855,11922,1
"6952",856,14634,1
"19741",857,28895,1
"16195",861,14867,1
"12756",862,26869,1
"3720",863,17799,1
"18278",864,22879,1
"4943",865,19631,2
"23258",868,3141,1
"19993",869,2347,1
"7886",870,24668,1
"10841",871,20865,1
"5004",872,28322,1
"11984",873,1807,1
"14481",874,6533,1
"14977",876,12196,1
"3660",878,6090,1
"23449",879,29930,1
"10904",881,13844,1
"10625",882,16514,1
"23838",883,3546,1
"357",885,8665,1
"7761",886,2867,1
"6846",887,23313,1
"15327",888,26933,1
"16464",889,28041,1
"14282",890,27492,1
"8318",891,28377,1
"21677",892,4943,1
"3161",894,18705,1
"16132",896,1422,1
"9186",898,12196,1
"14061",899,2694,1
"3490",901,779,1
"14284",904,16608,1
"6640",905,23427,1
"15524",906,8665,1
"9194",907,5678,1
"1305",908,27808,1
"6548",911,15561,1
"14929",912,4964,1
"18361",913,9430,1
"21685",914,23449,2
"23795",916,11166,1
"2601",917,27237,1
"10074",918,6833,1
"1514",920,8629,1
"7672",921,9643,1
"11339",922,7635,1
"4176",923,25742,1
"24289",923,28596,1
"24593",923,20752,1
"8595",924,21428,1
"10988",924,24320,1
"22449",924,5729,1
"10321",926,13704,1
"20768",928,24443,1
"13520",930,21710,1
"2300",932,28103,1
"23304",933,8665,1
"18760",934,20297,1
"20250",934,9234,1
"24154",935,26526,1
"8712",937,5598,1
"2254",938,27309,1
"8393",939,130,1
"4401",940,21818,1
"12673",941,18560,1
"16921",942,284,1
"11703",943,8101,1
"12346",945,21069,1
"22845",945,27965,1
"20582",946,3957,1
"11857",947,10488,1
"2099",948,12605,1
"18039",949,5766,1
"5606",950,27913,1
"22838",952,17957,1
"21905",953,22202,1
"15787",954,7057,1
