ID	group	IsOpinionLeader	IsKernel
12273252	3	0	0
1449896868	5	0	0
20427743	6	0	0
21925455	3	0	0
127978917	5	0	0
74743665	4	0	0
1187071904	5	0	0
393384689	1	0	0
44217930	4	0	0
722394841	4	0	0
755859	6	0	1
163581384	6	0	0
14234486	3	0	0
461959827	6	0	0
187344972	6	0	0
185177057	1	0	0
251793063	7	0	0
17469576	6	0	0
495542777	3	0	0
14663958	2	0	0
16662889	6	0	0
59498896	6	0	0
239664138	6	0	0
43998903	5	0	0
18657572	6	0	0
49964589	4	0	0
9257862	3	0	0
474283666	5	0	0
16944165	5	0	0
96517813	0	0	0
16378860	6	0	0
41399164	0	0	0
51648435	2	0	0
18117773	5	0	0
362130491	5	0	0
15463446	5	0	0
251368744	7	0	0
459008803	5	0	0
51860670	3	0	0
47202820	6	0	0
217565608	7	0	0
87324756	5	0	0
237439400	7	0	0
438242506	6	0	0
23255992	6	0	0
313987301	6	0	0
41379002	6	0	0
134604076	6	0	0
17351544	2	0	0
43541472	3	0	0
916066321	6	0	0
759059713	1	0	0
172280737	7	0	0
15151306	3	0	0
543567707	3	0	0
17107857	2	0	0
1018771207	6	0	0
402896220	7	0	0
585037278	1	0	0
246561066	7	0	0
1083683586	5	0	0
29264467	6	0	0
15661911	6	0	0
221421793	1	0	0
632300551	7	0	0
23760993	6	0	0
1285238412	6	0	0
1006521	6	0	0
120903066	6	0	0
289209680	2	0	0
72126536	7	0	0
349271329	6	0	0
25128034	1	0	0
258215926	3	0	0
158838996	7	0	0
17599131	3	0	0
235769432	7	0	0
78783	4	0	0
37937492	3	0	0
17249433	4	0	0
5017391	3	0	0
401281878	5	0	0
11537152	5	0	0
77181379	3	0	0
330680360	7	0	0
14149386	6	0	0
128452839	7	0	0
37120200	3	0	0
1897081	6	0	0
207167871	4	0	0
221446048	3	0	0
156271605	3	0	0
342328432	7	0	0
1306958010	6	0	0
235820985	6	0	0
178082406	1	0	0
26644148	5	0	0
14347790	1	0	0
18553922	5	0	0
15575993	5	0	0
140541759	1	0	0
500469701	7	0	0
55155361	3	0	0
93156626	3	0	0
346483445	3	0	0
617902392	6	0	0
113456205	6	0	0
14412930	0	0	0
139398124	3	0	0
40654760	2	0	0
14302336	5	0	0
4528281	3	0	0
337532627	6	0	0
750469231	7	0	0
385771776	6	0	0
45824208	3	0	0
33333639	3	0	0
18093	6	0	0
1538211	4	0	0
5674912	5	0	0
1027141638	3	0	0
821244174	6	0	0
756278	6	0	0
15407039	1	0	0
6985162	3	0	0
17963054	3	0	0
159111086	2	0	0
432199984	2	0	0
199052842	7	0	0
75911754	7	0	0
7006222	4	0	0
18203373	3	0	0
19674394	4	0	0
304677736	7	0	0
14940197	1	0	0
554523661	6	0	0
887148235	3	0	0
125558830	4	0	0
261009866	6	0	0
17501542	2	0	0
14752818	5	0	0
405100143	3	0	0
308727455	6	0	0
313531038	0	0	0
18104218	4	0	0
1237757929	3	0	0
12266272	2	0	0
642543	3	0	0
160983706	2	0	0
232086298	6	0	0
33243592	6	0	0
297301561	1	0	0
170589771	6	0	0
211020755	7	0	0
38822577	1	0	0
120761095	0	0	0
226950845	1	0	0
12470902	3	0	0
207793156	3	0	0
17618643	3	0	0
15270123	2	0	0
29522365	7	0	0
441735403	6	0	0
540270484	6	0	0
