ID	kmeans	network	red
2024491	0	5	6
2042451	0	6	6
2065931	5	3	1
2070321	0	3	6
2073391	5	5	3
2087371	5	3	1
2136531	7	5	3
2182141	0	0	6
2195241	5	5	1
2212361	5	6	1
2223291	5	0	1
2242231	0	5	6
2243161	0	5	6
2257251	0	6	6
2277141	0	0	6
2294541	6	6	7
2295631	5	6	1
2303441	7	5	7
2367111	5	6	1
2373551	5	0	4
2377041	0	5	6
2465291	0	5	6
2470801	0	5	6
2527001	5	5	6
2529971	0	6	6
2573571	0	5	5
2599211	5	3	3
2607381	5	0	6
2679741	5	5	1
2684451	0	6	3
2686521	5	6	6
2690051	5	6	3
2735591	7	5	3
2741351	5	6	3
2741751	5	5	1
2809821	0	6	6
2817731	6	5	7
2824241	6	6	7
2859091	0	6	6
2890961	0	2	6
2893971	7	6	3
2899671	0	5	3
2913451	5	0	1
2920601	0	6	7
2931561	0	6	3
2982731	7	6	6
2994961	0	3	6
3007491	5	6	1
3032241	5	6	3
3059701	0	5	3
3068511	5	3	1
3070721	7	6	3
3094201	0	5	6
3144021	6	3	7
3160851	0	5	6
3189061	7	5	3
3250521	0	5	6
3257461	4	5	6
3280241	0	6	5
3355061	0	5	6
3357441	0	0	4
3357861	0	5	6
3369501	5	6	3
3408321	0	3	3
3468981	0	6	6
3473301	5	0	1
3554811	7	5	3
3656031	0	0	6
3682811	0	5	3
3825931	0	3	6
3840881	5	6	6
3840981	5	5	3
3873061	7	5	3
3909641	0	1	6
4019221	5	0	1
4041161	5	6	2
4059301	3	6	4
4216361	0	6	6
4255361	6	6	7
4258171	5	6	1
4267411	5	5	3
4523411	1	0	1
4528281	0	7	6
4530981	5	3	1
4539461	0	6	3
4546251	0	6	3
4546771	6	6	7
4561551	5	6	4
4571321	5	6	3
4586221	0	5	6
4641021	7	0	3
4653471	5	3	1
4733651	6	6	7
4807311	0	6	6
4817481	0	6	2
4874091	0	5	6
4904051	0	0	6
4925881	0	5	6
5016311	0	3	6
5017391	0	6	3
5020091	0	3	6
5026991	0	6	1
5167971	5	6	3
5234841	0	5	6
5282232	0	3	3
5283722	0	5	6
5288182	7	5	3
5293482	0	5	6
5402662	0	5	6
5405942	0	5	3
5435772	5	0	1
5440722	5	6	2
5459482	0	6	6
5484672	0	0	6
5485192	7	6	3
5489202	0	6	6
5506842	0	5	6
5522502	0	5	6
5523632	0	6	6
5532312	0	0	6
5536302	0	5	6
5582942	0	6	3
5605712	0	6	6
5611402	7	6	3
5627662	0	5	3
5650122	5	5	1
5656302	5	6	3
5669402	5	6	6
5674912	0	5	1
5676102	0	6	6
5678612	5	5	1
5690332	5	0	1
5716352	0	3	3
5720832	5	3	1
5723242	5	6	3
5735232	5	6	1
5743672	0	5	7
5746402	7	5	3
5746452	7	6	3
5760092	5	6	3
5762562	5	6	1
5774552	0	6	6
5777542	5	6	6
5796812	6	6	7
5812182	7	6	3
5812762	5	3	1
5814192	0	5	6
5834352	0	6	6
5854292	0	5	6
5858332	5	3	1
5863782	5	6	1
5879952	0	3	6
5881942	0	3	3
5899642	0	5	3
5903472	5	6	1
5906602	5	0	1
5907872	5	6	3
5908912	0	5	6
5918822	2	5	4
5944742	5	5	1
5959342	5	0	1
5989982	5	6	1
5998082	5	0	1
6007052	7	6	3
6014472	0	0	6
6043542	5	3	1
6060122	0	6	3
6072622	0	5	6
6076652	0	5	6
6085962	0	3	6
6089202	0	5	0
6093272	0	5	6
6112582	0	6	2
6122152	2	6	6
6135062	0	6	6
6148922	5	6	3
6151482	0	6	1
6151842	5	5	5
6171742	0	3	3
6174752	7	6	3
6183312	0	6	3
6187302	5	6	1
6192062	0	5	3
6200932	5	3	1
6208362	0	6	1
6212632	0	5	6
6214082	0	6	3
6225142	0	5	6
6247112	7	5	3
6254992	5	5	5
6259182	0	6	6
6280722	7	5	3
6299112	5	6	2
6300442	0	6	6
6312822	5	6	3
6313612	5	6	1
6334122	0	3	6
6357512	0	0	3
6359502	0	6	6
6370862	0	5	6
6387332	7	5	3
6400432	5	3	1
6422092	5	5	1
6422342	0	0	6
6455422	0	5	6
6463042	0	6	5
6477652	7	6	3
6503412	5	6	3
6524242	7	5	3
6544382	5	6	6
6547242	6	6	6
6559462	5	5	1
6590302	5	5	1
6593102	2	6	4
6604912	5	3	1
6606072	7	5	1
6616882	5	5	1
6627172	0	5	6
6645222	7	5	3
6648282	0	6	3
6650602	5	5	1
6651162	0	5	3
6669152	0	3	6
6676342	6	3	6
6681532	3	6	3
6690332	5	6	2
6700062	0	5	6
6702072	5	5	3
6710562	5	5	3
6720512	0	6	3
6740132	5	6	1
6740762	5	3	1
6783942	5	3	1
6789132	5	3	1
6804612	7	6	3
6825792	5	6	1
6826442	5	6	3
6827332	0	1	6
6861272	5	6	1
6898792	7	3	3
6911532	0	6	6
6931722	5	5	3
6949612	5	6	3
6959952	5	6	1
6966832	0	6	6
6978072	0	3	6
6981492	5	5	3
6985162	5	6	3
7002322	0	5	6
7006222	5	0	4
7030802	5	6	3
7040482	5	6	2
7054342	5	3	3
7071372	5	6	1
7085242	0	6	6
7093672	5	0	1
7126992	0	5	6
7130262	0	5	6
7131752	0	7	6
7141052	5	6	3
7144422	2	6	4
7145962	5	5	1
7174272	4	3	0
7196762	7	5	1
7206912	5	6	2
7213362	5	0	1
7233772	0	6	6
7236472	0	5	6
7237922	6	6	1
7238782	1	0	1
7244602	0	3	6
7251502	5	0	4
7253832	5	6	1
7268202	1	0	1
7270092	6	6	3
7279612	0	3	6
7281342	5	5	3
7284312	0	0	1
7285302	5	0	4
7302892	5	5	6
7305712	7	5	6
7309052	7	5	6
7311022	5	6	1
7315732	7	5	6
7331272	5	0	1
7332802	5	6	3
7343762	2	6	4
7350972	6	3	6
7352612	5	0	1
7352822	0	6	3
7362932	0	5	6
7366962	0	5	6
7396542	0	3	6
7402632	0	3	6
7417152	5	5	3
7417632	0	5	6
7419822	6	6	7
7433392	0	5	6
7435562	0	6	6
7439852	0	7	6
7446652	5	3	1
7459862	0	5	6
7460652	5	6	3
7477172	0	6	6
