ID	group	IsOpinionLeader	IsOpinionLeaderMultiple
974351666	0	1	1
613743519	0	0	0
1074257515	0	0	0
540488894	0	0	0
481610048	0	0	0
1214346157	0	0	0
557130863	0	0	0
12741	0	0	0
99664549	0	0	0
612152798	0	0	0
133516831	0	0	0
98507536	0	0	0
470603150	0	0	0
160616566	0	0	0
73498980	0	0	0
77921391	0	0	0
105677947	0	0	0
54571607	0	0	0
302810094	0	0	0
180215115	0	0	0
706546033	0	0	0
729139172	0	0	0
184491523	0	0	0
805201158	0	0	0
96957978	0	0	0
288576091	0	0	0
146957489	0	0	0
241008083	0	0	0
220771526	0	0	0
42951128	0	0	0
300029694	0	0	0
547199152	0	0	0
402971468	0	0	0
204165853	0	0	0
489541644	0	0	0
138636228	0	0	0
16827333	0	0	0
568726078	0	0	0
228885353	0	0	0
525506113	0	0	0
450206313	0	0	0
920060192	0	0	0
256782510	0	0	0
312382020	0	0	0
61884590	0	0	0
332366367	0	0	0
44251056	0	0	0
446663569	0	0	0
18573140	0	0	0
200648038	0	0	0
550602653	0	0	0
379958326	0	0	0
139189675	0	0	0
1045734068	0	0	0
385164473	0	0	0
519110087	0	0	0
238755430	0	0	0
92186329	0	0	0
111150813	0	0	0
137487341	0	0	0
223519591	0	0	0
314339725	0	0	0
263169976	0	0	0
282669689	0	0	0
368690095	0	0	0
146120215	0	0	0
79462885	0	0	0
494655511	0	0	0
1323672258	0	0	0
451805817	0	0	0
1716121	0	0	0
348812492	0	0	0
358546797	0	0	0
56448483	0	0	0
281037285	0	0	0
184990624	0	0	0
492870782	0	0	0
7754602	0	0	0
518889227	0	0	0
357305050	0	0	0
1323282476	0	0	0
457017827	0	0	0
328792497	0	0	0
1296771054	0	0	0
67206248	0	0	0
203673758	0	0	0
215513474	0	0	0
235570327	0	0	0
379969324	0	0	0
555678558	0	0	0
251305469	0	0	0
768008862	0	0	0
122167456	0	0	0
377780158	0	0	0
90654592	0	0	0
335697817	0	0	0
48215945	0	0	0
392409430	0	0	0
226036740	0	0	0
440329545	0	0	0
128305738	0	0	0
168790652	0	0	0
227580729	0	0	0
499530112	0	0	0
377061654	0	0	0
221590611	0	0	0
266282194	0	0	0
35955885	0	0	0
172613556	0	0	0
152906089	0	0	0
307022292	0	0	0
299730015	0	0	0
334856089	0	0	0
410225629	0	0	0
47904708	0	0	0
239064852	0	0	0
341228113	0	0	0
336091326	0	0	0
126623958	0	0	0
275816398	0	0	0
46458964	0	0	0
702037459	0	0	0
160270935	0	0	0
186526473	0	0	0
179524228	0	0	0
39213560	0	0	0
274115841	0	0	0
177042919	0	0	0
1345829258	0	0	0
125406336	0	0	0
93002867	0	0	0
440328473	0	0	0
236610545	0	0	0
364496038	0	0	0
569195351	0	0	0
613911245	0	0	0
13006932	0	0	0
44523812	0	0	0
1119500562	0	0	0
65257820	0	0	0
422062467	0	0	0
92844036	0	0	0
194913627	0	0	0
767349956	0	0	0
239235139	0	0	0
51796762	0	0	0
109316366	0	0	0
34806442	0	0	0
353316465	0	0	0
1473514736	0	0	0
1018915753	0	0	0
129095435	0	0	0
390274162	0	0	0
132048085	0	0	0
237328263	0	0	0
49093	0	0	0
257268221	0	0	0
545577000	0	0	0
171230770	0	0	0
355912784	0	0	0
337215370	0	0	0
1493733468	0	0	0
62408313	0	0	0
1096797812	0	0	0
338183757	0	0	0
554389272	0	0	0
68080203	0	0	0
123412768	0	0	0
403027009	0	0	0
707157421	0	0	0
424573730	0	0	0
836328362	0	0	0
615346721	0	0	0
609389390	0	0	0
54747723	0	0	0
911267677	0	0	0
338106561	0	0	0
439741587	0	0	0
262425076	0	0	0
491083230	0	0	0
167641676	0	0	0
247578863	0	0	0
296412172	0	0	0
601914839	0	0	0
152494714	0	0	0
318883006	0	0	0
66200377	0	0	0
87100345	0	0	0
424408289	0	0	0
59556341	0	0	0
414389188	0	0	0
470097537	0	0	0
43207707	0	0	0
40559267	0	0	0
36231471	0	0	0
75171296	0	0	0
211742574	0	0	0
358044283	0	0	0
425279083	0	0	0
538203670	0	0	0
91546995	0	0	0
448964709	0	0	0
229192445	0	0	0
247976987	0	0	0
43615198	0	0	0
604416674	0	0	0
53472107	0	0	0
726255836	0	0	0
182521609	0	0	0
16290986	0	0	0
33347701	0	0	0
246144920	0	0	0
255317201	0	0	0
412445638	0	0	0
264970094	0	0	0
1194954564	0	0	0
90582376	0	0	0
120091148	0	0	0
326439131	0	0	0
71943465	0	0	0
93032205	0	0	0
65738792	0	0	0
410339379	0	0	0
509291299	0	0	0
371576786	0	0	0
56853775	0	0	0
338790001	0	0	0
431370594	0	0	0
268008810	0	0	0
405958594	0	0	0
162111838	0	0	0
