ID	group	IsOpinionLeader	IsOpinionLeaderMultiple
10545	0	1	1
273684907	0	0	0
16655768	0	0	0
14231571	0	0	0
25338609	0	0	0
23978155	0	0	0
19312115	0	0	0
834923124	0	0	0
4641021	0	0	0
19738648	0	0	0
310069463	0	0	0
54091512	0	0	0
19615995	0	0	0
15267898	0	0	0
708454531	0	0	0
26784830	0	0	0
911909497	0	0	0
14522927	0	0	0
275589630	0	0	0
60273	0	0	0
15440049	0	0	0
360827238	0	0	0
180215115	0	0	0
342959798	0	0	0
756278	0	0	0
631659581	0	0	0
316126825	0	0	0
895650158	0	0	0
58935240	0	0	0
101920103	0	0	0
18058741	0	0	0
317995501	0	0	0
39018466	0	0	0
12984782	0	0	0
489541644	0	0	0
60965740	0	0	0
318393568	0	0	0
192085881	0	0	0
672513	0	0	0
14372486	0	0	0
722394841	0	0	0
421992152	0	0	0
40488751	0	0	0
512758929	0	0	0
585076676	0	0	0
240886437	0	0	0
1023022946	0	0	0
533716898	0	0	0
63738955	0	0	0
554456378	0	0	0
451108446	0	0	0
561669655	0	0	0
279834935	0	0	0
162527302	0	0	0
1255504957	0	0	0
40584312	0	0	0
41423848	0	0	0
562977805	0	0	0
717313	0	0	0
260421416	0	0	0
284737288	0	0	0
29805983	0	0	0
315324804	0	0	0
528215001	0	0	0
604852279	0	0	0
1044156476	0	0	0
10140592	0	0	0
187216436	0	0	0
159256658	0	0	0
69814867	0	0	0
25602445	0	0	0
15663335	0	0	0
21650344	0	0	0
737647034	0	0	0
7578	0	0	0
545531694	0	0	0
345167683	0	0	0
299428404	0	0	0
861604183	0	0	0
14149386	0	0	0
1167285824	0	0	0
18520806	0	0	0
372520038	0	0	0
283585240	0	0	0
18858216	0	0	0
1632801	0	0	0
11461352	0	0	0
2373551	0	0	0
259923509	0	0	0
379029313	0	0	0
342864030	0	0	0
567852036	0	0	0
16198774	0	0	0
236232616	0	0	0
831646482	0	0	0
393095847	0	0	0
274005438	0	0	0
430191693	0	0	0
480026074	0	0	0
14209427	0	0	0
14335967	0	0	0
39306627	0	0	0
337544622	0	0	0
24459371	0	0	0
410937322	0	0	0
581040065	0	0	0
128064263	0	0	0
167519011	0	0	0
14395568	0	0	0
469829713	0	0	0
317506007	0	0	0
2182141	0	0	0
17589722	0	0	0
1314306499	0	0	0
9113802	0	0	0
7284312	0	0	0
288093542	0	0	0
178082406	0	0	0
20916718	0	0	0
190988390	0	0	0
480074937	0	0	0
212637914	0	0	0
635918975	0	0	0
274808423	0	0	0
42794466	0	0	0
43207707	0	0	0
89851063	0	0	0
378952888	0	0	0
1284282205	0	0	0
316649051	0	0	0
1373698088	0	0	0
232339072	0	0	0
324681335	0	0	0
286803371	0	0	0
2223291	0	0	0
9183382	0	0	0
790734	0	0	0
17445664	0	0	0
147998591	0	0	0
430014058	0	0	0
39398109	0	0	0
18131313	0	0	0
14989726	0	0	0
14188890	0	0	0
152154524	0	0	0
18518062	0	0	0
300574666	0	0	0
26104299	0	0	0
39105536	0	0	0
83306305	0	0	0
47326209	0	0	0
248591155	0	0	0
173751248	0	0	0
28372008	0	0	0
46180637	0	0	0
1313901	0	0	0
58233608	0	0	0
794614069	0	0	0
77909714	0	0	0
258570083	0	0	0
451655300	0	0	0
786807306	0	0	0
17750601	0	0	0
1510630094	0	0	0
24905818	0	0	0
96691921	0	0	0
61556728	0	0	0
287922735	0	0	0
14720754	0	0	0
49128962	0	0	0
152134077	0	0	0
16220081	0	0	0
17448440	0	0	0
1162036044	0	0	0
16578595	0	0	0
53444733	0	0	0
9559082	0	0	0
174933002	0	0	0
252683663	0	0	0
9771682	0	0	0
45657980	0	0	0
142144591	0	0	0
6014472	0	0	0
