ID	group	IsOpinionLeader	IsOpinionLeaderMultiple
9688342	0	1	1
16318564	0	0	0
1197619002	0	0	0
16662889	0	0	0
222540906	0	0	0
2087371	0	0	0
15403842	0	0	0
51439690	0	0	0
428413732	0	0	0
363594221	0	0	0
315498416	0	0	0
538699837	0	0	0
14725574	0	0	0
313987301	0	0	0
15151306	0	0	0
18553922	0	0	0
14302336	0	0	0
4528281	0	0	0
45824208	0	0	0
170589771	0	0	0
1264051598	0	0	0
26753313	0	0	0
1491578720	0	0	0
15461835	0	0	0
14375228	0	0	0
22844737	0	0	0
85757587	0	0	0
196621155	0	0	0
56722042	0	0	0
979061	0	0	0
25985929	0	0	0
17925696	0	0	0
750272622	0	0	0
403245409	0	0	0
88099803	0	0	0
132235493	0	0	0
7439852	0	0	0
276667497	0	0	0
78569517	0	0	0
44166385	0	0	0
23544392	0	0	0
230254333	0	0	0
7131752	0	0	0
387824320	0	0	0
60563975	0	0	0
89191785	0	0	0
172916423	0	0	0
312472901	0	0	0
17822376	0	0	0
9767742	0	0	0
628733579	0	0	0
272665577	0	0	0
970200684	0	0	0
14491482	0	0	0
21412225	0	0	0
1306513860	0	0	0
109047920	0	0	0
1132480237	0	0	0
46705779	0	0	0
82929455	0	0	0
14936888	0	0	0
215454055	0	0	0
14237651	0	0	0
14103188	0	0	0
270441488	0	0	0
14802364	0	0	0
125743370	0	0	0
10855252	0	0	0
14445315	0	0	0
22425873	0	0	0
52885446	0	0	0
80680080	0	0	0
72766861	0	0	0
53013	0	0	0
44178251	0	0	0
87496817	0	0	0
241316444	0	0	0
17703257	0	0	0
72052556	0	0	0
317190049	0	0	0
14082105	0	0	0
131257475	0	0	0
277568858	1	1	1
90043357	1	0	0
201998480	1	0	0
64887385	1	0	0
139438341	1	0	0
362130491	1	0	0
413710489	1	0	0
9364102	1	0	0
64581135	1	0	0
441436814	1	0	0
41986913	1	0	0
34522355	1	0	0
1400871444	1	0	0
561075007	1	0	0
42125339	1	0	0
854101200	2	1	1
864499236	2	0	1
83271185	3	1	1
979811	3	0	1
6312822	3	0	0
275686563	3	0	0
348429830	3	0	0
15383958	3	0	0
6187302	3	0	0
215625004	3	0	0
145201486	3	0	0
14151652	3	0	0
15661911	3	0	0
13945572	3	0	0
554523661	3	0	0
17618643	3	0	0
18865450	3	0	0
1066793484	3	0	0
16711478	3	0	0
18131006	3	0	0
20904050	3	0	0
15760192	3	0	0
14097734	3	0	0
117117530	3	0	0
14865941	3	0	0
111150813	3	0	0
15936679	3	0	0
882763400	3	0	0
327550001	3	0	0
214121628	3	0	0
658643	3	0	0
22852745	3	0	0
14940197	3	0	0
200512535	3	0	0
259923509	3	0	0
19558701	3	0	0
1622441	3	0	0
168169935	3	0	0
84379745	3	0	0
17524072	3	0	0
815897	3	0	0
12217	3	0	0
41463992	3	0	0
208238711	3	0	0
59498896	3	0	0
16378860	3	0	0
632113197	3	0	0
10877	3	0	0
9334052	3	0	0
13077772	3	0	0
182936819	3	0	0
1155631	3	0	0
35383	3	0	0
98523794	3	0	0
94316318	3	0	0
312663377	3	0	0
33418013	3	0	0
10780612	3	0	0
146615750	3	0	0
299659914	3	0	0
149512797	3	0	0
707843401	3	0	0
169555979	3	0	0
5026991	3	0	0
319856565	3	0	0
1005371676	3	0	0
14395568	3	0	0
1150401	3	0	0
19895809	3	0	0
74743665	3	0	0
1187071904	3	0	0
474283666	3	0	0
16944165	3	0	0
96517813	3	0	0
41399164	3	0	0
18117773	3	0	0
15463446	3	0	0
459008803	3	0	0
87324756	3	0	0
5017391	3	0	0
11537152	3	0	0
77181379	3	0	0
156271605	3	0	0
26644148	3	0	0
15575993	3	0	0
14412930	3	0	0
6985162	3	0	0
159111086	3	0	0
313531038	3	0	0
1237757929	3	0	0
642543	3	0	0
120761095	3	0	0
407584050	3	0	0
50018875	3	0	0
15907943	3	0	0
195992166	3	0	0
310895151	3	0	0
38216080	3	0	0
165503636	3	0	0
19745636	3	0	0
23986953	3	0	0
190387355	3	0	0
266569830	3	0	0
14703894	3	0	0
377781036	3	0	0
19664443	3	0	0
2899671	3	0	0
18722530	3	0	0
49254976	3	0	0
1693831	3	0	0
540711381	3	0	0
383272115	3	0	0
1198151028	3	0	0
135203072	3	0	0
65875009	3	0	0
12132212	3	0	0
57022012	3	0	0
287086915	3	0	0
296522258	3	0	0
2684451	3	0	0
144972951	3	0	0
28463821	3	0	0
22642033	3	0	0
5863782	3	0	0
55353320	3	0	0
423826570	3	0	0
429705464	3	0	0
153816002	3	0	0
153985504	3	0	0
69568551	3	0	0
242589912	3	0	0
22406530	3	0	0
15063088	3	0	0
61328073	3	0	0
4258171	3	0	0
37159806	3	0	0
89469736	3	0	0
273304026	3	0	0
192977251	3	0	0
14366170	3	0	0
11215482	3	0	0
56251446	3	0	0
140251220	3	0	0
28504723	3	0	0
14060640	3	0	0
60934228	3	0	0
17104996	3	0	0
378175954	3	0	0
56362316	3	0	0
1265932333	3	0	0
18370717	3	0	0
41845771	3	0	0
86878729	3	0	0
1123327922	3	0	0
135551329	3	0	0
15228931	3	0	0
250497656	3	0	0
49675047	3	0	0
12039262	3	0	0
270595368	3	0	0
61912304	3	0	0
152984395	3	0	0
14260072	3	0	0
33429714	3	0	0
129998395	3	0	0
18022397	3	0	0
33799821	3	0	0
16817783	3	0	0
28006594	3	0	0
158778628	3	0	0
47469552	3	0	0
1504381754	3	0	0
95749199	3	0	0
20129541	3	0	0
36159823	3	0	0
67338272	3	0	0
20239378	3	0	0
20463794	3	0	0
549388375	3	0	0
1222781	3	0	0
372312092	3	0	0
135404361	3	0	0
1093945130	3	0	0
14890530	3	0	0
14438627	3	0	0
275930685	3	0	0
379101904	3	0	0
14188163	3	0	0
93186089	3	0	0
14080534	3	0	0
452999360	3	0	0
19571570	3	0	0
134878011	3	0	0
6911532	3	0	0
87441900	3	0	0
524714589	3	0	0
164571470	3	0	0
309563555	3	0	0
29232120	3	0	0
2212361	3	0	0
150414976	3	0	0
12290352	3	0	0
299898500	3	0	0
213240408	3	0	0
46912024	3	0	0
84634445	3	0	0
15606719	3	0	0
72272917	3	0	0
1405765963	3	0	0
310418828	3	0	0
52490806	3	0	0
14879113	3	0	0
1447403276	3	0	0
26087517	3	0	0
14134854	3	0	0
315927670	3	0	0
60845592	3	0	0
803074	3	0	0
11798592	3	0	0
15052343	3	0	0
130203340	3	0	0
20945734	3	0	0
25805010	3	0	0
100453107	3	0	0
219161803	3	0	0
934052329	3	0	0
19883312	3	0	0
22442366	3	0	0
169172535	3	0	0
585410654	3	0	0
147696114	3	0	0
1068751	3	0	0
37671491	3	0	0
376516089	3	0	0
180784287	3	0	0
236120475	3	0	0
75247810	3	0	0
343304868	3	0	0
525784217	3	0	0
416151259	3	0	0
160139074	3	0	0
101670023	3	0	0
301023812	3	0	0
183003948	3	0	0
87889391	3	0	0
14315601	3	0	0
53651554	3	0	0
229188222	3	0	0
14097779	3	0	0
9213202	3	0	0
29146962	3	0	0
289703458	3	0	0
88500584	3	0	0
22539767	3	0	0
161723960	3	0	0
502772796	3	0	0
138669695	3	0	0
197732316	3	0	0
115873647	3	0	0
179089493	3	0	0
54998888	3	0	0
22599121	3	0	0
25791837	3	0	0
14913623	3	0	0
18316576	3	0	0
35089815	3	0	0
75326962	3	0	0
492174715	3	0	0
307730275	3	0	0
73933275	3	0	0
43476480	3	0	0
218645400	3	0	0
18829279	3	0	0
20328096	3	0	0
288295734	3	0	0
224786268	3	0	0
946079773	3	0	0
71793136	3	0	0
15881468	3	0	0
15714461	3	0	0
4546251	3	0	0
183999396	3	0	0
85744909	3	0	0
61890650	3	0	0
15545124	3	0	0
318148220	3	0	0
17583030	3	0	0
72073778	3	0	0
76347921	3	0	0
17692697	3	0	0
19910730	3	0	0
53561172	3	0	0
1480130808	3	0	0
390452836	3	0	0
256287519	3	0	0
17712725	3	0	0
734363305	3	0	0
501363623	3	0	0
85113948	3	0	0
267657925	3	0	0
104639821	3	0	0
54647086	3	0	0
19160084	3	0	0
17394386	3	0	0
15427914	3	0	0
76759476	3	0	0
281987894	3	0	0
3007491	3	0	0
256371640	3	0	0
12128432	3	0	0
26814332	3	0	0
790249	3	0	0
217046870	3	0	0
172649970	3	0	0
40632780	3	0	0
760369974	3	0	0
18969786	3	0	0
16376247	3	0	0
332397661	3	0	0
27281198	3	0	0
35647737	3	0	0
960093474	3	0	0
9259892	3	0	0
124457428	3	0	0
10505162	3	0	0
207209450	3	0	0
19691153	3	0	0
61005691	3	0	0
77923438	3	0	0
358380820	3	0	0
14783420	3	0	0
17784077	3	0	0
44119449	3	0	0
446243293	3	0	0
279538124	3	0	0
54466163	3	0	0
436238504	3	0	0
219549738	3	0	0
16364081	3	0	0
160042385	3	0	0
138677394	3	0	0
15576787	3	0	0
15133590	3	0	0
17738585	3	0	0
99005534	3	0	0
30027730	3	0	0
31541791	3	0	0
15654208	3	0	0
14604243	3	0	0
135184430	3	0	0
262324675	3	0	0
81421408	3	0	0
163603476	3	0	0
6135062	3	0	0
1058869784	3	0	0
371487390	3	0	0
359444801	3	0	0
41785894	3	0	0
400297555	3	0	0
71487339	3	0	0
6861272	3	0	0
48329145	3	0	0
14752818	4	1	1
14231571	5	1	1
20542450	5	0	0
198732594	5	0	0
583375286	5	0	0
318393568	5	0	0
722394841	5	0	0
987681	5	0	0
15267898	5	0	0
25602445	5	0	0
14635769	5	0	0
2373551	5	0	0
480026074	5	0	0
14209427	5	0	0
17589722	5	0	0
300574666	5	0	0
991953505	5	0	0
74857162	5	0	0
60935781	5	0	0
44217930	5	0	0
185177057	5	0	0
49964589	5	0	0
51860670	5	0	0
349271329	5	0	0
78783	5	0	0
17249433	5	0	0
207167871	5	0	0
140541759	5	0	0
1538211	5	0	0
5674912	5	0	0
7006222	5	0	0
19674394	5	0	0
125558830	5	0	0
308727455	5	0	0
18104218	5	0	0
96875688	5	0	0
9419482	5	0	0
22913041	5	0	0
453920936	5	0	0
16669384	5	0	0
312169321	5	0	0
14335967	5	0	0
16031975	5	0	0
317295041	5	0	0
314468797	5	0	0
14430504	5	0	0
92369660	5	0	0
16444535	5	0	0
277613279	5	0	0
18086399	5	0	0
63039904	5	0	0
9677102	5	0	0
362072815	5	0	0
2017551	5	0	0
252683663	5	0	0
47796564	5	0	0
49794827	5	0	0
894351378	5	0	0
831568202	5	0	0
454929825	5	0	0
27458668	5	0	0
19233144	5	0	0
14883072	5	0	0
63494655	5	0	0
15753421	5	0	0
41475732	5	0	0
15143065	5	0	0
44332516	5	0	0
179782805	5	0	0
186200830	5	0	0
23365521	5	0	0
37119973	5	0	0
14815081	5	0	0
139900071	5	0	0
46986427	5	0	0
459504843	5	0	0
15447922	5	0	0
267361990	5	0	0
230096003	5	0	0
23189284	5	0	0
39255657	5	0	0
20593735	5	0	0
310475146	5	0	0
14546264	5	0	0
223867718	5	0	0
635639811	5	0	0
10802892	5	0	0
1163437148	5	0	0
202106234	5	0	0
76447189	5	0	0
210632409	5	0	0
45228561	5	0	0
394116937	5	0	0
173751248	5	0	0
291791128	5	0	0
11482102	5	0	0
45848957	5	0	0
42710143	5	0	0
117106591	5	0	0
16740465	5	0	0
52976552	5	0	0
19182150	5	0	0
408805756	5	0	0
21927673	5	0	0
1296802286	5	0	0
115709777	5	0	0
60761503	5	0	0
107530760	5	0	0
1275570596	5	0	0
363329873	5	0	0
416050185	5	0	0
786807306	5	0	0
177203540	5	0	0
24905818	5	0	0
455673282	5	0	0
406766014	5	0	0
150970628	5	0	0
32582073	5	0	0
101159465	5	0	0
56380633	5	0	0
96323946	5	0	0
14177252	5	0	0
60179336	5	0	0
15275550	5	0	0
16821970	5	0	0
9613162	5	0	0
414623943	5	0	0
36104446	5	0	0
9024412	5	0	0
450611024	5	0	0
39129794	5	0	0
14357305	5	0	0
79196669	5	0	0
15060567	5	0	0
364197480	5	0	0
10397362	5	0	0
382163699	5	0	0
732889176	5	0	0
75132172	5	0	0
158821259	5	0	0
91762941	5	0	0
14156676	5	0	0
10675922	5	0	0
777885	5	0	0
156918516	5	0	0
713941724	5	0	0
15251758	5	0	0
19287300	5	0	0
14797245	5	0	0
62231590	5	0	0
7251502	5	0	0
15080070	5	0	0
256693196	5	0	0
14507319	5	0	0
123859505	5	0	0
1162036044	5	0	0
17808270	5	0	0
198559051	5	0	0
356881173	5	0	0
7285302	5	0	0
1089691	5	0	0
14148326	5	0	0
32572068	5	0	0
361570691	5	0	0
14398655	5	0	0
755653	5	0	0
15715971	5	0	0
1027515500	5	0	0
104119980	5	0	0
297546385	5	0	0
18690832	5	0	0
140743543	5	0	0
736010604	5	0	0
22607047	5	0	0
17297018	5	0	0
227586466	5	0	0
51768001	5	0	0
48633265	5	0	0
279777141	5	0	0
261012410	5	0	0
25703613	5	0	0
38897348	5	0	0
1511034536	5	0	0
589311349	5	0	0
63096088	5	0	0
9771682	5	0	0
238701218	5	0	0
272275518	5	0	0
262955958	5	0	0
123329223	5	0	0
161790494	5	0	0
188048136	6	1	1
784912	6	0	0
23978155	6	0	0
755859	6	0	0
78453	6	0	0
37019708	6	0	0
15830701	6	0	0
12273252	6	0	0
127978917	6	0	0
611823	6	0	0
972651	6	0	0
36183	6	0	0
636923	6	0	0
6981492	6	0	0
51813392	6	0	0
19312115	6	0	0
15086405	6	0	0
1475774791	6	0	0
16452299	6	0	0
5834352	6	0	0
19225408	6	0	0
11405762	6	0	0
1214346157	6	0	0
817386	6	0	0
14347790	6	0	0
15027362	6	0	0
4641021	6	0	0
5777542	6	0	0
312846503	6	0	0
15066271	6	0	0
168258795	6	0	0
23255992	6	0	0
15395727	6	0	0
14410190	6	0	0
15416541	6	0	0
2172	6	0	0
109433050	6	0	0
22253	6	0	0
14539324	6	0	0
223028814	6	0	0
21253062	6	0	0
313496814	6	0	0
112243365	6	0	0
445098267	6	0	0
14372486	6	0	0
14246782	6	0	0
40584312	6	0	0
16369316	6	0	0
187344972	6	0	0
281348032	6	0	0
439637245	6	0	0
14166065	6	0	0
15008936	6	0	0
545531694	6	0	0
498742495	6	0	0
14255185	6	0	0
202233697	6	0	0
585485094	6	0	0
3468981	6	0	0
2426	6	0	0
126484603	6	0	0
35673	6	0	0
455274701	6	0	0
323066578	6	0	0
15681726	6	0	0
438242506	6	0	0
134604076	6	0	0
916066321	6	0	0
1018771207	6	0	0
14149386	6	0	0
756278	6	0	0
199052842	6	0	0
33243592	6	0	0
14882065	6	0	0
19092024	6	0	0
1446309715	6	0	0
7284312	6	0	0
16184358	6	0	0
432660080	6	0	0
479719592	6	0	0
15398988	6	0	0
139658109	6	0	0
289246577	6	0	0
18209839	6	0	0
32809351	6	0	0
14227194	6	0	0
96723697	6	0	0
